City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,xining,36.6167,101.7667,25.29,36,25,2.77,CN,1691407241
319,cozumel,20.5083,-86.9458,25.53,94,41,3.24,MX,1691407242
320,aliwal north,-30.6937,26.7114,19.95,21,0,2.86,ZA,1691406968
321,kununurra,-15.7667,128.7333,19.99,45,73,0.51,AU,1691407242
322,onega,63.9061,38.1404,23.98,51,2,4.11,RU,1691407242
323,omdurman,15.6445,32.4777,35.48,31,46,3.57,SD,1691407031
324,kidal,18.4411,1.4078,35.99,24,4,4.51,ML,1691407152
325,sinop,41.7711,34.8709,28.06,46,0,3.97,TR,1691407243
326,al ghayzah,16.2079,52.176,31.6,61,54,7.03,YE,1691407243
327,galesong,-5.3166,119.3661,27.01,72,28,4.24,ID,1691407077
328,dunedin,-45.8742,170.5036,5.45,77,97,6.26,NZ,1691407243
329,priob'ye,62.5206,65.5964,28.3,33,0,3.18,RU,1691407244
330,ha tinh,18.3333,105.9,28.89,69,97,2.19,VN,1691406789
331,tazovsky,67.4667,78.7,20.71,46,0,3.1,RU,1691407244
332,lagunas,-5.2269,-75.6753,21.19,89,61,0.92,PE,1691407244
333,vilhena,-12.7406,-60.1458,22.12,73,0,1.54,BR,1691406976
334,dreux,48.6667,1.25,21.85,51,39,3.87,FR,1691407245
335,basco,20.4487,121.9702,28.25,86,76,12.49,PH,1691407245
336,fort mcmurray,56.7268,-111.381,6.73,100,0,2.06,CA,1691407019
337,dhidhdhoo,6.8833,73.1,28.11,77,100,6.7,MV,1691407246
338,east london,-33.0153,27.9116,21.52,68,20,5.14,ZA,1691406982
339,zheleznogorsk-ilimskiy,56.5768,104.1217,21.79,64,98,0.95,RU,1691407246
340,shakiso,5.75,38.9167,16.04,86,100,1.06,ET,1691407247
341,kupino,54.3663,77.2981,25.83,31,0,3.99,RU,1691407248
342,sundsvall,62.3913,17.3063,17.98,94,100,3.6,SE,1691407248
343,nogliki,51.8333,143.1667,15.78,75,0,3.73,RU,1691407248
344,ware,51.8126,-0.0283,21.08,58,40,5.66,GB,1691407249
345,sao miguel do araguaia,-13.275,-50.1628,25.36,30,9,3.13,BR,1691407075
346,castillos,-34.1667,-53.8333,9.47,75,84,6.72,UY,1691407249
347,nueva gerona,21.8833,-82.8,29.38,74,36,5.49,CU,1691407249
348,cole harbour,44.6724,-63.4751,18.99,85,43,5.14,CA,1691407250
349,qandala,11.472,49.8728,34.68,45,15,2.7,SO,1691407125
350,rosarito,32.3333,-117.0333,18.54,72,4,1.43,MX,1691407250
351,el bordo,2.117,-76.9821,19.29,81,100,0.6,CO,1691407251
352,baotou,40.6522,109.8222,32.96,26,37,3.98,CN,1691407251
353,nar'yan-mar,67.6713,53.087,16.39,56,64,7.34,RU,1691407251
354,medicine hat,50.0501,-110.6683,14.24,79,0,3.6,CA,1691407251
355,villa gesell,-37.2639,-56.973,6.7,61,25,8.44,AR,1691407046
356,haizhou,34.5817,119.1289,23.85,82,31,2.08,CN,1691407252
357,macapa,0.0389,-51.0664,27.99,89,40,2.06,BR,1691407159
358,urangan,-25.3,152.9,17.64,77,16,6.08,AU,1691407252
359,tadine,-21.55,167.8833,18.92,77,1,5.49,NC,1691407253
360,sitka,57.0531,-135.33,15.94,77,100,3.09,US,1691407253
361,khangarh,29.9173,71.1618,34.04,21,11,4.73,PK,1691407253
362,gulf shores,30.246,-87.7008,29.76,75,20,4.12,US,1691407254
